1 	 California 	38,802,500 	53 	55 	717,763 	691,662 	19,401,250
2 	 Texas 	26,956,958 	36 	38 	723,867 	685,769 	13,478,479
3 	 Florida 	19,893,297 	27 	29 	715,465 	666,123 	9,946,649
4 	 New York 	19,746,227 	27 	29 	724,824 	674,837 	9,873,114
5 	 Illinois 	12,880,580 	18 	20 	715,292 	643,763 	6,440,290
6 	 Pennsylvania 	12,787,209 	18 	20 	709,085 	638,177 	6,393,605
7 	 Ohio 	11,594,163 	16 	18 	721,514 	641,346 	5,797,082
8 	 Georgia 	10,097,343 	14 	16 	708,568 	619,997 	5,048,672
9 	 North Carolina 	9,943,964 	13 	15 	750,159 	650,138 	4,971,982
10 	 Michigan 	9,909,877 	14 	16 	705,954 	617,710 	4,954,939
11 	 New Jersey 	8,938,175 	12 	14 	738,716 	633,185 	4,469,088
12 	 Virginia 	8,326,289 	11 	13 	744,170 	629,682 	4,163,145
13 	 Washington 	7,061,530 	10 	12 	689,701 	574,751 	3,530,765
14 	 Massachusetts 	6,745,408 	9 	11 	738,460 	604,195 	3,372,704
15 	 Arizona 	6,731,484 	9 	11 	728,139 	595,750 	3,365,742
16 	 Indiana 	6,596,855 	9 	11 	726,370 	594,303 	3,298,428
17 	 Tennessee 	6,549,352 	9 	11 	717,360 	586,931 	3,274,676
18 	 Missouri 	6,063,589 	8 	10 	752,749 	602,199 	3,031,795
19 	 Maryland 	5,976,407 	8 	10 	735,570 	588,456 	2,988,204
20 	 Wisconsin 	5,757,564 	8 	10 	715,800 	572,640 	2,878,782
21 	 Minnesota 	5,457,173 	8 	10 	672,392 	537,914 	2,728,587
22 	 Colorado 	5,355,856 	7 	9 	741,083 	576,398 	2,677,928
23 	 Alabama 	4,849,377 	7 	9 	688,860 	535,780 	2,424,689
24 	 South Carolina 	4,832,482 	7 	9 	674,818 	524,858 	2,416,241
25 	 Louisiana 	4,649,676 	6 	8 	766,982 	575,237 	2,324,838
26 	 Kentucky 	4,413,457 	6 	8 	730,069 	547,552 	2,206,729
27 	 Oregon 	3,970,239 	5 	7 	779,871 	557,050 	1,985,120
28 	 Oklahoma 	3,878,051 	5 	7 	762,964 	544,974 	1,939,026
29 	 Connecticut 	3,596,677 	5 	7 	718,059 	512,907 	1,798,339
30 	 Iowa 	3,107,126 	4 	6 	768,547 	513,364 	1,553,563
31 	 Arkansas 	2,994,079 	4 	6 	737,283 	491,522 	1,497,040
32 	 Mississippi 	2,984,926 	4 	6 	746,232 	497,488 	1,492,463
33 	 Utah 	2,942,902 	4 	6 	713,822 	475,881 	1,471,451
34 	 Kansas 	2,904,021 	4 	6 	721,476 	480,984 	1,452,011
35 	 Nevada 	2,839,099 	4 	6 	689,733 	459,822 	1,419,550
36 	 New Mexico 	2,085,572 	3 	5 	695,179 	417,108 	1,042,786
37 	 Nebraska 	1,881,503 	3 	5 	618,508 	371,105 	940,752
38 	 West Virginia 	1,850,326 	3 	5 	618,471 	371,083 	925,163
39 	 Idaho 	1,634,464 	2 	4 	797,864 	398,932 	817,232
40 	 Hawaii 	1,419,561 	2 	4 	696,157 	348,078 	709,781
41 	 Maine 	1,330,089 	2 	4 	664,596 	332,298 	665,045
42 	 New Hampshire 	1,326,813 	2 	4 	660,359 	330,180 	663,407
43 	 Rhode Island 	1,055,173 	2 	4 	525,146 	262,273 	527,587
44 	 Montana 	1,023,579 	1 	3 	1,005,141 	335,047 	511,790
45 	 Delaware 	935,614 	1 	3 	917,092 	305,697 	467,807
46 	 South Dakota 	853,175 	1 	3 	833,354 	277,785 	426,588
47 	 North Dakota 	739,482 	1 	3 	699,628 	233,209 	369,741
48 	 Alaska 	737,732 	1 	3 	736,732 	243,816 	368,866
49 	 Vermont 	626,011 	1 	3 	626,562 	208,670 	313,006
50 	 Wyoming 	584,153 	1 	3 	576,412 	192,137 	292,077
